[0.240 -> 0.560] 听 ting1
[0.560 -> 1.040] 说 shuo1
[1.440 -> 1.600] 博 bo2
[1.600 -> 1.760] 物 wu4
[1.760 -> 2.080] 馆 guan2
[2.080 -> 2.240] 有 you3
[2.240 -> 2.400] 个 ge4
[2.400 -> 2.720] 很 hen2
[2.720 -> 2.880] 好 hao3
[2.880 -> 3.040] 的 de5
[3.040 -> 3.360] 展 zhan2
[3.360 -> 3.680] 览 lan3
[4.000 -> 4.160] 咱 zan2
[4.160 -> 4.400] 们 men5
[4.400 -> 4.560] 今 jin1
[4.560 -> 4.800] 天 tian1
[4.800 -> 5.040] 去 qu4
[5.040 -> 5.360] 看 kan4
[5.680 -> 5.840] 怎 zen3
[5.840 -> 5.920] 么 me5
[5.920 -> 6.240] 样 yang4
[6.560 -> 6.960] 好 hao3
[6.960 -> 7.200] 呀 ya5
[8.000 -> 8.320] 今 jin1
[8.320 -> 8.720] 天 tian1
[8.720 -> 8.880] 我 wo2
[8.880 -> 9.200] 也 ye2
[9.200 -> 9.440] 有 you3
[9.440 -> 9.760] 时 shi2
[9.760 -> 10.080] 间 jian1
[10.080 -> 10.320] 了 le5
[10.720 -> 10.960] 咱 zan2
[10.960 -> 11.280] 们 men5
[11.280 -> 11.360] 一 yi4
[11.360 -> 11.600] 起 qi3
[11.600 -> 11.920] 去 qu4
[11.920 -> 12.320] 看 kan4
[12.960 -> 13.280] 现 xian4
[13.280 -> 13.520] 在 zai4
[13.520 -> 13.840] 几 ji2
[13.840 -> 14.240] 点 dian3
[14.240 -> 14.480] 了 le5
[15.280 -> 15.680] 快 kuai4
[15.680 -> 15.920] 十 shi2
[15.920 -> 16.160] 点 dian3
[16.160 -> 16.480] 了 le5
[17.040 -> 17.280] 咱 zan2
[17.280 -> 17.440] 们 men5
[17.440 -> 17.760] 什 shen2
[17.760 -> 17.920] 么 me5
[17.920 -> 18.160] 时 shi2
[18.240 -> 18.480] 候 hou4
[18.480 -> 18.880] 去 qu4
[19.600 -> 19.920] 现 xian4
[19.920 -> 20.160] 在 zai4
[20.160 -> 20.480] 去 qu4
[20.800 -> 21.040] 好 hao3
[21.040 -> 21.360] 吗 ma5
[21.920 -> 22.320] 现 xian4
[22.320 -> 22.400] 在 zai4
[23.360 -> 23.680] 好 hao3
[23.680 -> 23.840] 吧 ba5
[24.720 -> 24.960] 博 bo2
[24.960 -> 25.120] 物 wu4
[25.120 -> 25.520] 馆 guan3
[25.520 -> 25.680] 在 zai4
[25.680 -> 26.000] 天 tian1
[26.000 -> 26.000] 安 an1
[26.320 -> 26.560] 门 men2
[26.880 -> 27.120] 咱 zan2
[27.120 -> 27.360] 们 men5
[27.360 -> 27.600] 怎 zen3
[27.600 -> 27.760] 么 me5
[27.760 -> 28.160] 去 qu4
[28.800 -> 29.040] 我 wo3
[29.040 -> 29.360] 朋 peng2
[29.360 -> 29.600] 友 you2
[29.600 -> 29.840] 有 you3
[29.840 -> 30.080] 车 che1
[30.640 -> 30.880] 咱 zan2
[30.880 -> 31.120] 们 men5
[31.120 -> 31.280] 能 neng2
[31.280 -> 31.600] 开 kai1
[31.600 -> 31.920] 车 che1
[31.920 -> 32.160] 去 qu4
[32.160 -> 32.560] 吗 ma5
[33.120 -> 33.280] 我 wo3
[33.280 -> 33.360] 不 bu2
[33.360 -> 33.600] 会 hui4
[33.600 -> 33.840] 开 kai1
[33.840 -> 34.320] 车 che1
[35.120 -> 35.280] 你 ni3
[35.280 -> 35.680] 呢 ne5
[36.080 -> 36.240] 我 wo3
[36.240 -> 36.480] 会 hui4
[36.480 -> 36.800] 开 kai1
[36.800 -> 37.040] 车 che1
[38.000 -> 38.160] 可 ke3
[38.160 -> 38.400] 是 shi4
[38.400 -> 38.640] 我 wo3
[38.640 -> 38.960] 没 mei2
[38.960 -> 39.120] 有 you3
[39.120 -> 39.440] 中 zhong1
[39.520 -> 39.680] 国 guo2
[39.680 -> 40.000] 驾 jia4
[40.000 -> 40.400] 照 zhao4
[40.720 -> 40.960] 在 zai4
[40.960 -> 41.280] 这 zhe4
[41.280 -> 41.440] 不 bu4
[41.440 -> 41.760] 能 neng2
[41.760 -> 42.160] 开 kai1
[42.800 -> 42.960] 咱 zan2
[42.960 -> 43.200] 们 men5
[43.200 -> 43.520] 打 da3
[43.520 -> 43.920] 车 che1
[43.920 -> 44.160] 去 qu4
[44.160 -> 44.480] 吧 ba5
[45.280 -> 45.680] 现 xian4
[45.680 -> 45.840] 在 zai4
[45.840 -> 46.080] 路 lu4
[46.080 -> 46.480] 上 shang4
[46.480 -> 46.640] 可 ke3
[46.640 -> 46.880] 能 neng2
[46.880 -> 47.200] 堵 du3
[47.200 -> 47.680] 车 che1
[48.480 -> 48.640] 打 da3
[48.640 -> 48.960] 车 che1
[48.960 -> 49.280] 去 qu4
[49.680 -> 49.920] 可 ke3
[49.920 -> 50.080] 能 neng2
[50.080 -> 50.400] 很 hen3
[50.400 -> 50.800] 慢 man4
[51.040 -> 51.200] 也 ye3
[51.200 -> 51.440] 不 bu2
[51.440 -> 51.840] 便 bian4
[51.840 -> 52.080] 宜 yi2
[52.880 -> 53.120] 咱 zan2
[53.120 -> 53.360] 们 men5
[53.360 -> 53.600] 坐 zuo4
[53.600 -> 53.760] 地 di4
[53.760 -> 54.080] 铁 tie3
[54.080 -> 54.400] 和 he2
[54.400 -> 54.640] 公 gong1
[54.640 -> 54.800] 共 gong4
[54.800 -> 55.040] 汽 qi4
[55.040 -> 55.520] 车 che1
[55.840 -> 56.000] 怎 zen3
[56.000 -> 56.080] 么 me5
[56.080 -> 56.400] 样 yang4
[56.880 -> 57.280] 好 hao3
[57.280 -> 57.600] 呀 ya5
[58.320 -> 58.720] 先 xian1
[58.720 -> 58.960] 坐 zuo4
[58.960 -> 59.280] 地 di4
[59.280 -> 59.680] 铁 tie3
[59.760 -> 60.000] 还 hai2
[60.000 -> 60.240] 是 shi4
[60.240 -> 60.640] 先 xian1
[60.640 -> 60.960] 坐 zuo4
[60.960 -> 61.280] 公 gong1
[61.280 -> 61.600] 共 gong4
[61.600 -> 61.920] 汽 qi4
[61.920 -> 62.320] 车 che1
[62.880 -> 63.360] 先 xian1
[63.360 -> 63.600] 坐 zuo4
[63.600 -> 63.920] 九 jiu3
[63.920 -> 64.160] 六 liu4
[64.160 -> 64.400] 幺 yao1
[64.400 -> 64.720] 路 lu4
[64.720 -> 64.960] 公 gong1
[64.960 -> 65.280] 共 gong4
[65.280 -> 65.520] 汽 qi4
[65.520 -> 65.840] 车 che1
[65.840 -> 66.160] 到 dao4
[66.160 -> 66.560] 苹 ping2
[66.560 -> 66.800] 果 guo3
[66.800 -> 67.200] 园 yuan2
[68.000 -> 68.320] 再 zai4
[68.320 -> 68.640] 苹 ping2
[68.640 -> 68.880] 果 guo3
[68.880 -> 69.200] 园 yuan2
[69.200 -> 69.520] 换 huan4
[69.520 -> 69.760] 地 di4
[69.760 -> 70.000] 铁 tie3
[70.000 -> 70.240] 一 yi2
[70.240 -> 70.560] 号 hao4
[70.560 -> 70.880] 线 xian4
[70.880 -> 71.040] 到 dao4
[71.040 -> 71.360] 天 tian1
[71.360 -> 71.520] 安 an1
[71.520 -> 71.920] 门 men2
[72.400 -> 72.640] 咱 zan2
[72.640 -> 72.880] 们 men5
[72.880 -> 73.200] 几 ji2
[73.200 -> 73.520] 点 dian3
[73.520 -> 73.840] 能 neng2
[73.840 -> 74.080] 到 dao4
[74.560 -> 74.800] 十 shi2
[74.800 -> 75.120] 二 er4
[75.120 -> 75.280] 点 dian3
[75.280 -> 75.600] 能 neng2
[75.600 -> 75.920] 到 dao4
[76.720 -> 76.960] 别 bie2
[76.960 -> 77.280] 着 zhe5
[77.280 -> 77.760] 急 ji2
[78.400 -> 78.560] 我 wo3
[78.560 -> 78.720] 不 bu4
[78.720 -> 79.120] 着 zhe5
[79.120 -> 79.520] 急 ji2
[79.840 -> 80.080] 可 ke3
[80.080 -> 80.240] 是 shi4
[80.240 -> 80.480] 我 wo3
[80.480 -> 80.720] 的 de5
[80.720 -> 81.040] 肚 du4
[81.040 -> 81.360] 子 zi5
[81.440 -> 81.680] 有 you2
[81.680 -> 81.920] 点 dian3
[81.920 -> 82.240] 着 zhe5
[82.240 -> 82.800] 急 ji2
[83.440 -> 83.760] 对 dui4
[84.160 -> 84.320] 我 wo2
[84.320 -> 84.480] 也 ye3
[84.480 -> 84.800] 饿 e4
[84.800 -> 85.040] 了 le5
[85.840 -> 86.080] 咱 zan2
[86.080 -> 86.320] 们 men5
[86.320 -> 86.480] 可 ke2
[86.480 -> 86.640] 以 yi3
[86.640 -> 86.960] 先 xian1
[86.960 -> 87.200] 吃 chi1
[87.200 -> 87.440] 点 dian2
[87.440 -> 87.680] 点 dian3
[87.680 -> 88.160] 心 xin1
