[0.160 -> 0.480] 下 xia4
[0.480 -> 0.720] 星 xing1
[0.720 -> 0.880] 期 qi1
[0.880 -> 1.120] 五 wu3
[1.120 -> 1.280] 是 shi4
[1.280 -> 1.520] 圣 sheng4
[1.520 -> 1.760] 诞 dan4
[1.760 -> 2.240] 节 jie2
[2.800 -> 2.960] 这 zhe4
[2.960 -> 3.040] 是 shi4
[3.040 -> 3.200] 我 wo3
[3.200 -> 3.520] 第 di4
[3.520 -> 3.600] 一 yi1
[3.600 -> 3.840] 次 ci4
[3.840 -> 4.080] 在 zai4
[4.080 -> 4.400] 中 zhong1
[4.400 -> 4.720] 国 guo2
[4.720 -> 4.960] 过 guo4
[4.960 -> 5.120] 圣 sheng4
[5.120 -> 5.360] 诞 dan4
[5.360 -> 5.760] 节 jie2
[6.400 -> 6.480] 我 wo3
[6.480 -> 6.640] 要 yao4
[6.640 -> 6.880] 跟 gen1
[6.880 -> 7.200] 小 xiao3
[7.200 -> 7.440] 云 yun2
[7.440 -> 7.600] 一 yi4
[7.600 -> 7.760] 起 qi3
[7.760 -> 7.920] 去 qu4
[7.920 -> 8.160] 上 shang4
[8.160 -> 8.400] 海 hai2
[8.400 -> 8.480] 旅 lv3
[8.480 -> 8.800] 行 xing2
[9.520 -> 9.760] 现 xian4
[9.760 -> 10.000] 在 zai4
[10.000 -> 10.240] 中 zhong1
[10.240 -> 10.400] 国 guo2
[10.400 -> 10.560] 人 ren2
[10.560 -> 10.720] 也 ye2
[10.720 -> 10.960] 很 hen2
[10.960 -> 11.120] 喜 xi3
[11.120 -> 11.360] 欢 huan1
[11.360 -> 11.440] 过 guo4
[11.440 -> 11.680] 圣 sheng4
[11.680 -> 11.840] 诞 dan4
[11.840 -> 12.160] 节 jie2
[12.720 -> 12.960] 很 hen3
[12.960 -> 13.120] 多 duo1
[13.120 -> 13.440] 商 shang1
[13.440 -> 13.760] 场 chang3
[13.760 -> 13.840] 都 dou1
[13.840 -> 14.000] 有 you3
[14.000 -> 14.240] 圣 sheng4
[14.240 -> 14.400] 诞 dan4
[14.400 -> 14.560] 老 lao3
[14.560 -> 14.960] 人 ren2
[15.440 -> 15.760] 商 shang1
[15.760 -> 16.080] 场 chang3
[16.080 -> 16.320] 东 dong1
[16.320 -> 16.400] 西 xi1
[16.400 -> 16.640] 很 hen3
[16.640 -> 16.960] 多 duo1
[17.440 -> 17.760] 买 mai3
[17.760 -> 18.000] 东 dong1
[18.000 -> 18.160] 西 xi1
[18.160 -> 18.240] 的 de5
[18.240 -> 18.560] 人 ren2
[18.560 -> 18.720] 也 ye2
[18.720 -> 18.960] 很 hen3
[18.960 -> 19.280] 多 duo1
[20.480 -> 20.800] 上 shang4
[20.800 -> 20.800] 午 wu3
[20.800 -> 21.040] 十 shi2
[21.040 -> 21.360] 点 dian2
[21.360 -> 21.520] 我 wo3
[21.520 -> 21.680] 去 qu4
[21.680 -> 21.840] 王 wang2
[21.840 -> 22.000] 府 fu2
[22.000 -> 22.400] 井 jing2
[22.400 -> 22.480] 给 gei3
[22.480 -> 22.720] 爸 ba4
[22.720 -> 22.800] 爸 ba4
[22.800 -> 23.040] 妈 ma1
[23.040 -> 23.280] 妈 ma1
[23.280 -> 23.520] 买 mai3
[23.520 -> 23.760] 圣 sheng4
[23.760 -> 23.920] 诞 dan4
[23.920 -> 24.080] 礼 li3
[24.080 -> 24.320] 物 wu4
[24.320 -> 24.560] 了 le5
[25.120 -> 25.280] 爸 ba4
[25.280 -> 25.520] 爸 ba4
[25.520 -> 25.840] 很 hen2
[25.840 -> 25.920] 喜 xi3
[25.920 -> 26.160] 欢 huan1
[26.160 -> 26.480] 京 jing1
[26.480 -> 26.720] 剧 ju4
[27.200 -> 27.360] 妈 ma1
[27.360 -> 27.520] 妈 ma1
[27.520 -> 27.680] 也 ye2
[27.680 -> 27.920] 喜 xi3
[27.920 -> 28.320] 欢 huan1
[28.560 -> 28.720] 我 wo2
[28.720 -> 29.040] 想 xiang2
[29.040 -> 29.200] 给 gei3
[29.200 -> 29.360] 他 ta1
[29.360 -> 29.520] 们 men5
[29.520 -> 29.600] 一 yi2
[29.600 -> 29.760] 个 ge4
[29.760 -> 30.000] 惊 jing1
[30.000 -> 30.320] 喜 xi3
[30.800 -> 30.960] 我 wo2
[30.960 -> 31.200] 很 hen2
[31.200 -> 31.520] 想 xiang3
[31.520 -> 31.920] 家 jia1
[32.320 -> 32.640] 也 ye2
[32.640 -> 32.960] 想 xiang3
[33.040 -> 33.200] 加 jia1
[33.200 -> 33.360] 拿 na2
[33.360 -> 33.600] 大 da4
[34.880 -> 35.120] 上 shang4
[35.120 -> 35.200] 午 wu3
[35.200 -> 35.440] 十 shi2
[35.440 -> 35.680] 点 dian3
[35.680 -> 36.000] 半 ban4
[36.240 -> 36.400] 哥 ge1
[36.400 -> 36.480] 哥 ge1
